year,co2,landtemp,oceantemp,globaltemp
1959,315.97,0.04,0.06,0.06
1960,316.91,-0.05,0.05,0.02
1961,317.64,0.1,0.07,0.08
1962,318.45,0.15,0.07,0.09
1963,318.99,0.19,0.07,0.11
1964,319.62,-0.25,-0.11,-0.15
1965,320.04,-0.14,-0.06,-0.08
1966,322.38,-0.08,0,-0.02
1967,322.16,-0.01,-0.02,-0.01
1968,323.04,-0.13,0,-0.03
1969,324.62,-0.11,0.17,0.09
1970,327.68,0.01,0.04,0.04
1971,326.32,-0.05,-0.09,-0.08
1972,327.45,-0.18,0.1,0.03
1973,329.68,0.29,0.11,0.16
1974,330.18,-0.22,-0.02,-0.07
1975,331.11,0.11,-0.04,0
1976,332.04,-0.26,-0.01,-0.08
1977,333.83,0.19,0.19,0.19
1978,335.4,0.07,0.12,0.11
1979,336.84,0.14,0.25,0.22
1980,338.75,0.26,0.26,0.26
1981,340.11,0.48,0.23,0.3
1982,341.45,0.08,0.21,0.18
1983,343.05,0.48,0.28,0.34
1984,344.65,0.04,0.18,0.15
1985,346.12,0.06,0.15,0.13
1986,347.42,0.27,0.21,0.23
1987,349.19,0.41,0.35,0.37
1988,351.57,0.55,0.31,0.37
1989,353.12,0.38,0.26,0.29
1990,354.39,0.58,0.37,0.43
1991,355.61,0.53,0.35,0.4
1992,356.45,0.26,0.25,0.25
1993,357.1,0.34,0.26,0.28
1994,358.83,0.45,0.3,0.34
1995,360.82,0.76,0.34,0.45
1996,362.61,0.35,0.31,0.32
1997,363.73,0.68,0.45,0.52
1998,366.7,0.95,0.51,0.63
1999,368.38,0.79,0.31,0.44
2000,369.55,0.64,0.35,0.43
2001,371.14,0.83,0.44,0.55
2002,373.28,0.94,0.48,0.6
2003,375.8,0.89,0.51,0.61
2004,377.52,0.81,0.49,0.58
2005,379.8,1.04,0.51,0.66
2006,381.9,0.91,0.5,0.61
2007,383.79,1.09,0.43,0.61
2008,385.6,0.86,0.42,0.54
2009,387.43,0.89,0.55,0.64
2010,389.9,1.09,0.56,0.7
2011,391.65,0.91,0.46,0.58
2012,393.85,0.92,0.51,0.62
2013,396.52,1,0.55,0.67
2014,398.65,1.02,0.64,0.74
2015,400.83,1.35,0.74,0.91
2016,404.21,1.45,0.76,0.95
2017,406.53,1.33,0.67,0.85
